"","app","permission","approved"
"1","Qualcomm MobileSecurity","android.permission.ACCESS_NETWORK_STATE","true"
"2","Qualcomm MobileSecurity","android.permission.RECEIVE_BOOT_COMPLETED","true"
"3","YouTube","android.permission.READ_CONTACTS","false"
"4","YouTube","android.permission.GET_ACCOUNTS","false"
"5","YouTube","com.sonyericsson.home.permission.BROADCAST_BADGE","false"
"6","YouTube","com.htc.launcher.permission.READ_SETTINGS","false"
"7","YouTube","android.permission.FOREGROUND_SERVICE","true"
"8","YouTube","android.permission.SYSTEM_ALERT_WINDOW","true"
"9","YouTube","android.permission.MANAGE_DOCUMENTS","false"
"10","YouTube","android.permission.RECEIVE_BOOT_COMPLETED","true"
"11","YouTube","android.permission.NFC","true"
"12","YouTube","android.permission.WRITE_EXTERNAL_STORAGE","false"
"13","YouTube","android.permission.ACCESS_FINE_LOCATION","false"
"14","YouTube","android.permission.ACCESS_COARSE_LOCATION","false"
"15","YouTube","com.sec.android.provider.badge.permission.WRITE","false"
"16","YouTube","com.sec.android.provider.badge.permission.READ","false"
"17","YouTube","android.permission.ACCESS_NETWORK_STATE","true"
"18","YouTube","android.permission.WAKE_LOCK","true"
"19","YouTube","android.permission.ACCESS_WIFI_STATE","true"
"20","YouTube","android.permission.USE_FINGERPRINT","true"
"21","YouTube","com.google.android.gms.permission.AD_ID_NOTIFICATION","true"
"22","YouTube","android.permission.MANAGE_ACCOUNTS","true"
"23","YouTube","com.google.android.c2dm.permission.RECEIVE","true"
"24","YouTube","com.google.android.providers.gsf.permission.READ_GSERVICES","true"
"25","YouTube","android.permission.GET_PACKAGE_SIZE","true"
"26","YouTube","android.permission.VIBRATE","true"
"27","YouTube","android.permission.RECORD_AUDIO","false"
"28","YouTube","com.google.android.youtube.permission.C2D_MESSAGE","true"
"29","YouTube","com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","false"
"30","YouTube","com.htc.launcher.permission.UPDATE_SHORTCUT","false"
"31","YouTube","android.permission.INTERNET","true"
"32","YouTube","android.permission.USE_CREDENTIALS","true"
"33","YouTube","android.permission.CAMERA","false"
"34","YouTube","android.permission.READ_EXTERNAL_STORAGE","false"
"35","YouTube","android.permission.READ_PHONE_STATE","false"
"36","Android Services Library","android.permission.PROVIDE_RESOLVER_RANKER_SERVICE","true"
"37","Phone and MessagingStorage","android.permission.RECEIVE_SMS","true"
"38","Phone and MessagingStorage","android.permission.INTERACT_ACROSS_USERS_FULL","true"
"39","Phone and MessagingStorage","android.permission.MODIFY_PHONE_STATE","true"
"40","Phone and MessagingStorage","android.permission.INTERACT_ACROSS_USERS","true"
"41","Phone and MessagingStorage","android.permission.USE_RESERVED_DISK","true"
"42","Phone and MessagingStorage","android.permission.READ_EXTERNAL_STORAGE","true"
"43","Phone and MessagingStorage","android.permission.WRITE_EXTERNAL_STORAGE","true"
"44","Google","com.google.android.googleapps.permission.GOOGLE_AUTH.cp","true"
"45","Google","com.google.android.googleapps.permission.GOOGLE_AUTH","true"
"46","Google","android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","true"
"47","Google","android.permission.INTERACT_ACROSS_USERS","true"
"48","Google","android.permission.WRITE_CALENDAR","true"
"49","Google","com.android.browser.permission.WRITE_HISTORY_BOOKMARKS","true"
"50","Google","com.google.android.voicesearch.SHORTCUTS_ACCESS","false"
"51","Google","android.permission.WAKE_LOCK","true"
"52","Google","com.google.android.launcher.permission.RECEIVE_LAUNCH_BROADCASTS","true"
"53","Google","com.google.android.launcher.permission.RECEIVE_FIRST_LOAD_BROADCAST","true"
"54","Google","com.google.googlenav.friend.permission.OPT_IN","false"
"55","Google","android.permission.PACKAGE_USAGE_STATS","true"
"56","Google","android.permission.CALL_PRIVILEGED","true"
