"","unix","event","time","duration","rDuration","app"
"29",1571237326518,"App: WhatsApp",2019-10-16 14:48:46,8.044,8S,"WhatsApp"
"44",1571238487115,"App: Chrome",2019-10-16 15:08:07,15.121,15S,"Chrome"
"51",1571239087406,"App: WhatsApp",2019-10-16 15:18:07,4.029,4S,"WhatsApp"
"59",1571240126047,"App: WhatsApp",2019-10-16 15:35:26,17.027,17S,"WhatsApp"
"99",1571240767240,"App: WhatsApp",2019-10-16 15:46:07,0.326,0S,"WhatsApp"
"143",1571241545677,"App: WhatsApp",2019-10-16 15:59:05,33.803,34S,"WhatsApp"
"170",1571242572119,"App: Chrome",2019-10-16 16:16:12,38.146,38S,"Chrome"
"196",1571244677114,"App: Chrome",2019-10-16 16:51:17,148.761,2M 29S,"Chrome"
"210",1571246992402,"App: Chrome",2019-10-16 17:29:52,2.724,3S,"Chrome"
"216",1571247308173,"App: Chrome",2019-10-16 17:35:08,7.733,8S,"Chrome"
"223",1571251595686,"App: Google Play services",2019-10-16 18:46:35,3.126,3S,"Google Play services"
"226",1571251716750,"App: Chrome",2019-10-16 18:48:36,6.08,6S,"Chrome"
"229",1571251725855,"App: WhatsApp",2019-10-16 18:48:45,29.609,30S,"WhatsApp"
"242",1571252625903,"App: WhatsApp",2019-10-16 19:03:45,14.321,14S,"WhatsApp"
"287",1571255788607,"App: WhatsApp",2019-10-16 19:56:28,10.042,10S,"WhatsApp"
"294",1571255834770,"App: WhatsApp",2019-10-16 19:57:14,2.033,2S,"WhatsApp"
"312",1571255908094,"App: WhatsApp",2019-10-16 19:58:28,6.04,6S,"WhatsApp"
"320",1571255956291,"App: WhatsApp",2019-10-16 19:59:16,0.127,0S,"WhatsApp"
"325",1571255983113,"App: Settings",2019-10-16 19:59:43,12.041,12S,"Settings"
"327",1571256000178,"App: Settings",2019-10-16 20:00:00,11.778,12S,"Settings"
"331",1571256327622,"App: WhatsApp",2019-10-16 20:05:27,4.958,5S,"WhatsApp"
"395",1571281952382,"App: Chrome",2019-10-17 03:12:32,168.635,2M 49S,"Chrome"
"404",1571286840789,"App: Chrome",2019-10-17 04:34:00,5.139,5S,"Chrome"
"425",1571293345708,"App: Chrome",2019-10-17 06:22:25,47.025,47S,"Chrome"
"434",1571294150944,"App: Google Play services",2019-10-17 06:35:50,51.151,51S,"Google Play services"
"439",1571294258279,"App: Chrome",2019-10-17 06:37:38,4.021,4S,"Chrome"
"441",1571294266332,"App: Chrome",2019-10-17 06:37:46,7.047,7S,"Chrome"
"445",1571294497388,"App: Google Play services",2019-10-17 06:41:37,1.368,1S,"Google Play services"
"449",1571294502473,"App: Chrome",2019-10-17 06:41:42,50.156,50S,"Chrome"
"454",1571294963533,"App: Chrome",2019-10-17 06:49:23,43.888,44S,"Chrome"
