"","unix","app","event","rEvent","time","duration","rDuration"
"1",1571151207619,"WhatsApp",2,"Move to background",2019-10-15 14:53:27,0.007,0S
"2",1571151207626,"WhatsApp",1,"Move to foreground",2019-10-15 14:53:27,0.577,1S
"3",1571151207760,"Google Play services",12,"Notifiation interuption",2019-10-15 14:53:27,0,0S
"4",1571151208203,"Google Play services",10,"Notification seen",2019-10-15 14:53:28,3.944,4S
"5",1571151212147,"WhatsApp",1,"Move to foreground",2019-10-15 14:53:32,4.24,4S
"8",1571151216519,"WhatsApp",2,"Move to background",2019-10-15 14:53:36,0.43,0S
"10",1571151216949,"WhatsApp",1,"Move to foreground",2019-10-15 14:53:36,0.01,0S
"11",1571151216959,"WhatsApp",2,"Move to background",2019-10-15 14:53:36,699.202,11M 39S
"18",1571151916531,"WhatsApp",2,"Move to background",2019-10-15 15:05:16,0.016,0S
"19",1571151916547,"WhatsApp",1,"Move to foreground",2019-10-15 15:05:16,1.366,1S
"21",1571152079368,"Google",11,"Standby bucket changed",2019-10-15 15:07:59,0,0S
"24",1571152884396,"WhatsApp",2,"Move to background",2019-10-15 15:21:24,0.012,0S
"25",1571152884408,"WhatsApp",1,"Move to foreground",2019-10-15 15:21:24,2.56,3S
"26",1571152886968,"WhatsApp",1,"Move to foreground",2019-10-15 15:21:26,1.092,1S
"28",1571152887034,"Google",11,"Standby bucket changed",2019-10-15 15:21:27,0,0S
"30",1571152888060,"WhatsApp",2,"Move to background",2019-10-15 15:21:28,0.013,0S
"31",1571152888073,"WhatsApp",1,"Move to foreground",2019-10-15 15:21:28,17.266,17S
"37",1571152905472,"WhatsApp",2,"Move to background",2019-10-15 15:21:45,0.379,0S
"38",1571152905851,"WhatsApp",1,"Move to foreground",2019-10-15 15:21:45,0.009,0S
"39",1571152905860,"WhatsApp",2,"Move to background",2019-10-15 15:21:45,29.421,29S
"41",1571152924118,"WhatsApp",12,"Notifiation interuption",2019-10-15 15:22:04,0,0S
"42",1571152924132,"WhatsApp",12,"Notifiation interuption",2019-10-15 15:22:04,0,0S
"43",1571152931295,"WhatsApp",12,"Notifiation interuption",2019-10-15 15:22:11,0,0S
"44",1571152931313,"WhatsApp",12,"Notifiation interuption",2019-10-15 15:22:11,0,0S
"46",1571152935620,"WhatsApp",2,"Move to background",2019-10-15 15:22:15,0.009,0S
"47",1571152935629,"WhatsApp",1,"Move to foreground",2019-10-15 15:22:15,2.432,2S
"48",1571152938061,"WhatsApp",1,"Move to foreground",2019-10-15 15:22:18,12.721,13S
"50",1571152950782,"WhatsApp",2,"Move to background",2019-10-15 15:22:30,0.018,0S
"51",1571152950800,"WhatsApp",1,"Move to foreground",2019-10-15 15:22:30,1.762,2S
"53",1571152952663,"WhatsApp",2,"Move to background",2019-10-15 15:22:32,0.424,0S
"54",1571152953087,"WhatsApp",1,"Move to foreground",2019-10-15 15:22:33,0.011,0S
"55",1571152953098,"WhatsApp",2,"Move to background",2019-10-15 15:22:33,109.146,1M 49S
"57",1571152969870,"WhatsApp",12,"Notifiation interuption",2019-10-15 15:22:49,0,0S
"58",1571152969877,"WhatsApp",12,"Notifiation interuption",2019-10-15 15:22:49,0,0S
"60",1571153062507,"WhatsApp",2,"Move to background",2019-10-15 15:24:22,0.006,0S
"61",1571153062513,"WhatsApp",1,"Move to foreground",2019-10-15 15:24:22,0.599,1S
"62",1571153063112,"WhatsApp",10,"Notification seen",2019-10-15 15:24:23,9.125,9S
"65",1571153075672,"WhatsApp",2,"Move to background",2019-10-15 15:24:35,0.007,0S
"66",1571153075679,"WhatsApp",1,"Move to foreground",2019-10-15 15:24:35,4.848,5S
"67",1571153080527,"WhatsApp",1,"Move to foreground",2019-10-15 15:24:40,0.001,0S
"68",1571153080528,"WhatsApp",2,"Move to background",2019-10-15 15:24:40,0.003,0S
"69",1571153080531,"WhatsApp",7,"User interaction",2019-10-15 15:24:40,0.446,0S
"70",1571153080977,"WhatsApp",1,"Move to foreground",2019-10-15 15:24:40,25.267,25S
"73",1571153106361,"WhatsApp",2,"Move to background",2019-10-15 15:25:06,0.405,0S
"74",1571153106766,"WhatsApp",1,"Move to foreground",2019-10-15 15:25:06,0.01,0S
"75",1571153106776,"WhatsApp",2,"Move to background",2019-10-15 15:25:06,1170.403,19M 30S
"80",1571153291204,"System UI",11,"Standby bucket changed",2019-10-15 15:28:11,0,0S
"82",1571153974095,"Google",11,"Standby bucket changed",2019-10-15 15:39:34,0,0S
"88",1571154277644,"WhatsApp",2,"Move to background",2019-10-15 15:44:37,0.006,0S
"89",1571154277650,"WhatsApp",1,"Move to foreground",2019-10-15 15:44:37,2.806,3S
"90",1571154280456,"WhatsApp",1,"Move to foreground",2019-10-15 15:44:40,1.71,2S
"92",1571154280520,"Google",11,"Standby bucket changed",2019-10-15 15:44:40,0,0S
"93",1571154282166,"WhatsApp",2,"Move to background",2019-10-15 15:44:42,0.017,0S
"94",1571154282183,"WhatsApp",1,"Move to foreground",2019-10-15 15:44:42,2.116,2S
"95",1571154284299,"WhatsApp",2,"Move to background",2019-10-15 15:44:44,0.017,0S
"112",1571154422569,"System UI",11,"Standby bucket changed",2019-10-15 15:47:02,0,0S
"123",1571156865593,"Google",11,"Standby bucket changed",2019-10-15 16:27:45,0,0S
"139",1571157094661,"Google",11,"Standby bucket changed",2019-10-15 16:31:34,0,0S
"149",1571160901625,"System UI",11,"Standby bucket changed",2019-10-15 17:35:01,0,0S
"202",1571163540150,"System UI",11,"Standby bucket changed",2019-10-15 18:19:00,0,0S
"210",1571164137539,"Google",11,"Standby bucket changed",2019-10-15 18:28:57,0,0S
"211",1571164175236,"Google",11,"Standby bucket changed",2019-10-15 18:29:35,0,0S
"222",1571167345859,"Google",11,"Standby bucket changed",2019-10-15 19:22:25,0,0S
"229",1571168040487,"Google",11,"Standby bucket changed",2019-10-15 19:34:00,0,0S
"248",1571168118755,"System UI",11,"Standby bucket changed",2019-10-15 19:35:18,0,0S
"249",1571170984655,"WhatsApp",11,"Standby bucket changed",2019-10-15 20:23:04,0,0S
"259",1571179424876,"Google",11,"Standby bucket changed",2019-10-15 22:43:44,0,0S
"268",1571179524238,"Google",11,"Standby bucket changed",2019-10-15 22:45:24,0,0S
"279",1571179530080,"System UI",11,"Standby bucket changed",2019-10-15 22:45:30,0,0S
"312",1571182031371,"Google",11,"Standby bucket changed",2019-10-15 23:27:11,0,0S
"317",1571182955165,"System UI",11,"Standby bucket changed",2019-10-15 23:42:35,0,0S
"322",1571188811962,"Google",11,"Standby bucket changed",2019-10-16 01:20:11,0,0S
"325",1571207262509,"Google Play services",12,"Notifiation interuption",2019-10-16 06:27:42,0,0S
"326",1571207264188,"Google",11,"Standby bucket changed",2019-10-16 06:27:44,0,0S
"334",1571207370651,"Google",11,"Standby bucket changed",2019-10-16 06:29:30,0,0S
"335",1571207371201,"Google Play services",10,"Notification seen",2019-10-16 06:29:31,1.635,2S
"361",1571207573031,"Chrome",1,"Move to foreground",2019-10-16 06:32:53,9.767,10S
"363",1571207580227,"WhatsApp",12,"Notifiation interuption",2019-10-16 06:33:00,0,0S
"364",1571207580786,"WhatsApp",12,"Notifiation interuption",2019-10-16 06:33:00,0,0S
"365",1571207580867,"WhatsApp",12,"Notifiation interuption",2019-10-16 06:33:00,0,0S
"366",1571207580934,"WhatsApp",12,"Notifiation interuption",2019-10-16 06:33:00,0,0S
"367",1571207582798,"WhatsApp",10,"Notification seen",2019-10-16 06:33:02,1.972,2S
"370",1571207586895,"Chrome",2,"Move to background",2019-10-16 06:33:06,0.017,0S
"371",1571207586912,"WhatsApp",7,"User interaction",2019-10-16 06:33:06,0.063,0S
"372",1571207586913,"WhatsApp",11,"Standby bucket changed",2019-10-16 06:33:06,0,0S
"373",1571207586975,"WhatsApp",1,"Move to foreground",2019-10-16 06:33:06,5.652,6S
"374",1571207592627,"WhatsApp",2,"Move to background",2019-10-16 06:33:12,0.021,0S
"377",1571207592856,"Chrome",1,"Move to foreground",2019-10-16 06:33:12,20.555,21S
